%year	month	day	sea-air CO2 flux (mmol m^-2 d^-1)
2017	11	29	2.32
2017	11	30	6.17
2017	12	1	2.38
2017	12	2	0.76
2017	12	3	1.81
2017	12	4	0.25
2017	12	5	0.21
2017	12	6	0.16
2017	12	7	0.02
2017	12	8	0.29
2017	12	9	0.60
2017	12	10	0.22
2017	12	11	0.27
2017	12	12	0.74
2017	12	13	0.51
2017	12	14	0.19
2017	12	15	1.43
2017	12	16	2.60
2017	12	17	4.76
2017	12	18	0.29
2017	12	19	2.20
2017	12	20	10.22
2017	12	21	0.35
2017	12	22	0.72
2017	12	23	2.30
2017	12	24	0.26
2017	12	25	0.63
2017	12	26	0.30
2017	12	27	0.27
2017	12	28	1.02
2017	12	29	0.93
2017	12	30	1.83
2017	12	31	0.21
2018	1	1	0.13
2018	1	2	0.16
2018	1	3	0.18
2018	1	4	0.17
2018	1	5	0.06
2018	1	6	0.40
2018	1	7	15.85
2018	1	8	4.03
2018	1	9	0.35
2018	1	10	0.43
2018	1	11	0.54
2018	1	12	0.41
2018	1	13	0.11
2018	1	14	0.11
2018	1	15	0.25
2018	1	16	1.10
2018	1	19	8.94
2018	1	20	8.03
2018	1	21	4.56
2018	1	22	0.46
2018	1	23	25.41
2018	1	24	5.78
2018	1	25	0.67
2018	1	26	0.23
2018	1	27	2.21
2018	1	28	4.21
2018	1	29	2.30
2018	1	30	0.77
2018	1	31	1.50
2018	2	1	0.94
2018	2	2	2.25
2018	2	3	0.10
2018	2	4	0.09
2018	2	5	0.09
2018	2	6	0.15
2018	2	7	0.07
2018	2	8	2.77
2018	2	9	3.03
2018	2	10	0.91
2018	2	11	1.96
2018	2	12	1.53
2018	2	13	0.42
2018	2	14	1.20
2018	2	15	0.85
2018	2	16	1.13
2018	2	17	3.00
2018	2	18	11.43
2018	2	19	2.98
2018	2	20	1.06
2018	2	21	1.19
2018	2	22	0.71
2018	2	26	1.08
2018	2	27	0.72
2018	2	28	6.24
2018	3	1	2.45
2018	3	2	0.35
2018	3	3	0.48
2018	3	4	1.02
2018	3	5	0.19
2018	3	6	0.15
2018	3	7	0.35
2018	3	8	0.33
2018	3	9	0.48
2018	3	10	0.16
2018	3	11	0.08
2018	3	12	0.02
2018	3	13	0.00
2018	3	14	-0.34
2018	3	15	-0.70
2018	3	16	-0.21
2018	3	17	-0.49
2018	3	18	-0.20
2018	3	19	-8.10
2018	3	20	-1.78
2018	3	21	-1.62
2018	3	22	-5.96
2018	3	23	-7.15
2018	3	24	-4.44
2018	3	25	-0.74
2018	3	26	-8.49
2018	3	27	-0.35
2018	3	29	-0.72
2018	3	30	-3.07
2018	3	31	-0.73
2018	4	1	-2.92
2018	4	2	-2.79
2018	4	3	-0.32
2018	4	4	-0.34
2018	4	5	-0.34
2018	4	6	-0.11
2018	4	7	-0.53
2018	4	8	-1.34
2018	4	9	-0.90
2018	4	10	-0.56
2018	4	11	-0.75
2018	4	12	-0.44
2018	4	13	-0.78
2018	4	14	-0.35
2018	4	15	-0.37
2018	4	16	-0.50
2018	4	17	-0.37
2018	4	18	-0.47
2018	4	19	-0.83
2018	4	20	-2.95
2018	4	21	-5.46
2018	4	22	-1.79
2018	4	23	-0.60
2018	4	24	-0.60
2018	4	25	-1.12
2018	4	26	-0.51
2018	4	27	-0.48
2018	5	3	-0.18
2018	5	4	-1.04
2018	5	5	-0.86
2018	5	6	-0.53
2018	5	7	-1.33
2018	5	8	-0.26
2018	5	9	-2.64
2018	5	10	-0.86
2018	5	11	-4.18
2018	5	12	-1.68
2018	5	13	-0.74
2018	5	14	-0.32
2018	5	15	-0.67
2018	5	16	-0.84
2018	5	17	-1.97
2018	5	18	-1.64
2018	5	19	-0.80
2018	5	20	-0.74
2018	5	21	-0.98
2018	5	22	-0.63
2018	5	23	-0.36
2018	5	24	-0.71
2018	5	25	-1.53
2018	5	26	-1.75
2018	5	27	-1.62
2018	5	28	-5.81
2018	5	29	-10.82
2018	5	30	-3.89
2018	5	31	-1.13
2018	6	1	-2.48
2018	6	2	-3.93
2018	6	5	-5.31
2018	6	6	-1.47
2018	6	7	-1.63
2018	6	8	-1.89
2018	6	9	-2.24
2018	6	10	                      NaN
2018	6	11	-3.04
2018	6	12	-2.22
2018	6	13	-2.45
2018	6	14	-0.73
2018	6	15	-6.23
2018	6	16	-2.80
2018	6	17	-0.58
2018	6	18	-0.53
2018	6	19	-0.46
2018	6	20	-0.17
2018	6	21	-1.92
2018	6	22	-1.17
2018	6	23	-1.57
2018	6	24	-0.40
2018	6	25	-1.00
2018	6	26	-2.82
2018	6	27	-2.54
2018	6	28	-1.36
2018	6	29	-0.71
2018	6	30	-0.60
2018	7	1	-3.38
2018	7	2	-6.67
2018	7	3	0.47
2018	7	4	-0.14
2018	7	5	-0.20
2018	7	6	-1.88
2018	7	7	-2.90
2018	7	8	-0.78
2018	7	9	-0.41
2018	7	10	-2.56
2018	7	11	-3.34
2018	7	12	-2.93
2018	7	16	1.91
2018	7	17	1.62
2018	7	18	4.04
2018	7	19	-1.22
2018	7	20	-3.12
2018	7	21	-2.76
2018	7	22	-0.93
2018	7	23	-0.48
2018	7	24	-0.53
2018	7	25	-0.91
2018	7	26	-0.59
2018	8	1	-2.92
2018	8	2	-2.43
2018	8	3	-2.92
2018	8	4	-1.81
2018	8	5	-0.69
2018	8	6	-0.42
2018	8	7	-0.67
2018	8	8	-0.59
2018	8	9	-0.36
2018	8	10	-0.84
2018	8	11	-0.70
2018	8	12	                      NaN
2018	8	13	-0.95
2018	8	14	-0.83
2018	8	15	-0.95
2018	8	16	-2.40
2018	8	17	-5.35
2018	8	18	-2.77
2018	8	19	-0.52
2018	8	20	-1.36
2018	8	21	-0.17
2018	8	22	-1.11
2018	8	23	-7.46
2018	8	24	-4.73
2018	8	25	-0.89
2018	8	26	-1.38
2018	8	27	-2.09
2018	8	28	-3.06
2018	8	29	-1.01
2018	8	30	-1.36
2018	8	31	-1.00
2018	9	1	-4.27
2018	9	2	-2.06
2018	9	3	-3.67
2018	9	4	-1.89
2018	9	5	-0.75
2018	9	6	-0.25
2018	9	7	-2.83
2018	9	8	-1.23
2018	9	9	-4.69
2018	9	10	-1.34
2018	9	11	-0.88
2018	9	12	-0.45
2018	9	13	-0.31
2018	9	14	-0.43
2018	9	15	-1.45
2018	9	16	-1.44
2018	9	17	-0.28
2018	9	18	-0.46
2018	9	19	-0.09
2018	9	20	-1.31
2018	9	21	-1.45
2018	9	22	-0.92
2018	9	23	-1.81
