agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	12052390	114	2014-12-04 15:39:00	PST	Yes	BWF	USGS	4.75	135	Fair	0.00	0.80		MEAS
USGS	12052390	115	2015-05-15 09:30:00	PDT	Yes	AMP	USGS	4.14	54.8	Good	0.00	1.00	Clear	MEAS
USGS	12052390	116	2015-07-09 13:19:30	PDT	Yes	RES/EJR	USGS	3.67	20.8	Good	0.00	1.10	Clear	MEAS
USGS	12052390	117	2015-08-13 13:25:00	PDT	Yes	RES/EJR	USGS	3.62	18.5	Good	0.00	0.90	Clear	MEAS
USGS	12052390	118	2015-10-29 12:59:30	PDT	Yes	RES	USGS	3.61	18.6	Fair	0.00		DebrisLight	MEAS
USGS	12052390	119	2016-01-15 11:02:00	PST	Yes	RES	USGS	5.60	337	Fair	0.00	0.80	Clear	MEAS
USGS	12052390	120	2016-04-07 13:26:30	PDT	Yes	RES	USGS	5.06	188	Fair	0.00	0.90	Clear	MEAS
USGS	12052390	121	2016-06-16 13:25:00	PDT	Yes	RES	USGS	4.42	73.4	Good	0.00	0.50	Clear	MEAS
USGS	12052390	122	2016-08-11 12:29:00	PDT	Yes	RES/KRL	USGS	3.84	36.1	Fair	0.00	0.70	Clear	MEAS
USGS	12052390	123	2016-12-29 15:16:30	PST	Yes	KRL	USGS		76.2	Fair		0.60	Clear	MEAS
USGS	12052390	124	2017-07-13 13:38:30	PDT	Yes	KRL	USGS	4.44	79.6	Fair	-0.01	0.68	Clear	MEAS
USGS	12052390	125	2017-08-22 15:33:00	PDT	Yes	KRL	USGS	3.60	19.1	Fair	0.00	0.73	Clear	MEAS
USGS	12052390	126	2017-10-17 15:20:00	PDT	Yes	KRL	USGS	3.56	19.6	Fair	-0.02	0.60	Clear	MEAS
USGS	12052390	127	2017-12-11 15:20:00	PST	Yes	KRL	USGS	4.67	117	Fair	0.00	0.63	Clear	MEAS
USGS	12052390	128	2018-06-20 13:44:30	PDT	Yes	KRL	USGS	4.62	101	Fair	0.00	0.88	Clear	MEAS
USGS	12052390	129	2018-07-25 10:23:30	PDT	Yes	KRL	USGS	3.93	34.1	Fair	0.00	0.85	Clear	MEAS
USGS	12052390	130	2018-10-12 12:13:00	PDT	Yes	KRL	USGS	3.62	17.1	Fair	0.00	0.73	Clear	MEAS
USGS	12052390	131	2019-02-28 14:10:30	PST	Yes	KRL	USGS	4.15	52.4	Fair	0.01	0.78	Clear	MEAS
